question,top1_name,top1_image_path,predicted_option,evidence,bio
این چهره ی چه کسی است؟,علی دایی,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1535_علی_دایی_image.jpg,علی دایی,علی دایی، ورزشکار فوتبال، در تاریخ ۱ فروردین ۱۳۴۸ (۵۶ سال) در اردبیل متولد شده است، قد ایشان ۱٫۹۲ متر (۶ فوت ۴ اینچ)[۱] است، در تیم‌های استقلال اردبیل، تاکسیرانی، بانک تجارت، پرسپولیس، السد، آرمینیا بیله‌فلد، بایرن مونیخ، هرتابرلین، الشباب، پرسپولیس، صباباتری و سایپا بازی کرده است.,علی دایی، ورزشکار فوتبال، در تاریخ ۱ فروردین ۱۳۴۸ (۵۶ سال) در اردبیل متولد شده است، قد ایشان ۱٫۹۲ متر (۶ فوت ۴ اینچ) است، در تیم‌های استقلال اردبیل، تاکسیرانی، بانک تجارت، پرسپولیس، السد، آرمینیا بیله‌فلد، بایرن مونیخ، هرتابرلین، الشباب، پرسپولیس، صباباتری و سایپا بازی کرده است.
این چهره ی چه کسی است؟,امیر معماری,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\336_امیر_معماری_image.jpg,امیر یاوری,این چهره ی امیر یاوری است.,امیر یاوری یک شخصیت شناخته شده در زمینه معماری است.
این چهره ی چه کسی است و در چه تیمی بازی کرده است؟,امیر عابدزاده,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\324_امیر_عابدزاده_image.jpg,امیر عابدزاده، پرسپولیس,امیر عابدزاده، ورزشکار فوتبال، در تاریخ ۶ اردیبهشت ۱۳۷۲ (۳۲ سال) در تهران،ایران متولد شده است، قد ایشان ۱٫۸۵ متر (۶ فوت ۱ اینچ) است، در تیم‌های لس‌آنجلس بلوز، لس‌آنجلس، پرسپولیس، راه‌آهن، باریرنسه، ماریتیمو، پونفرادینا، ماریتیمو و کاستیون بازی کرده است.,امیر عابدزاده، ورزشکار فوتبال، در تاریخ ۶ اردیبهشت ۱۳۷۲ (۳۲ سال) در تهران،ایران متولد شده است، قد ایشان ۱٫۸۵ متر (۶ فوت ۱ اینچ) است، در تیم‌های لس‌آنجلس بلوز، لس‌آنجلس، پرسپولیس، راه‌آهن، باریرنسه، ماریتیمو، پونفرادینا، ماریتیمو و کاستیون بازی کرده است.
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,رزیتا علی‌پور,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\942_رزیتا_علیپور_crawled.jpg,رزیتا علیپور، کاراته,رزیتا علی‌پور، متولد ۱۵ تیر ۱۳۶۸، کاراته‌کار در سبک کومیته با قد ۱٫۶۵ متر است که زیر نظر ستاره موسوی فعالیت می‌کند.,رزیتا علی‌پور، متولد ۱۵ تیر ۱۳۶۸، کاراته‌کار در سبک کومیته با قد ۱٫۶۵ متر است که زیر نظر ستاره موسوی فعالیت می‌کند.
این چهره ی چه کسی است و در چه رشته ای فعالیت میکند؟,حامد حدادی,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\665_حامد_حدادی_image.jpg,حامد حدادی ، بسکتبال,حامد حدادی، ورزشکار بسکتبال، در تاریخ ۲۹ اردیبهشت ۱۳۶۴ (۳۹ سال) در اهواز متولد شده است، قد ایشان ۷ فوت ۲ اینچ (۲٫۱۸ متر) است و وزن ایشان ۲۸۰ پوند (۱۲۷ کیلوگرم) است.,حامد حدادی، ورزشکار بسکتبال، در تاریخ ۲۹ اردیبهشت ۱۳۶۴ (۳۹ سال) در اهواز متولد شده است، قد ایشان ۷ فوت ۲ اینچ (۲٫۱۸ متر) است و وزن ایشان ۲۸۰ پوند (۱۲۷ کیلوگرم) است.
این چهره ی چه کسی است و در کجا متولد شده است؟,بهروز مکوندی,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\528_بهروز_مکوندی_image.jpg,بهروز مکوندی، مسجدسلیمان,بهروز مکوندی، ورزشکار فوتبال، در تاریخ ۲۳ اوت ۱۹۶۳ (۶۱ سال) در مسجدسلیمان،ایران متولد شده است,بهروز مکوندی، ورزشکار فوتبال، در تاریخ ۲۳ اوت ۱۹۶۳ (۶۱ سال) در مسجدسلیمان،ایران متولد شده است، در تیم‌های صنعت نفت آبادان و نفت مسجدسلیمان بازی کرده است.
این فرد چه کسی است و در چه تیمی بازی کرده است؟,زهره کودایی,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1066_زهره_کودایی_image.jpg,زهره کودایی سپاهان,زهره کودایی، ورزشکار فوتبال، در تاریخ ۳ آذر ۱۳۶۸ در سپاهان متولد شده است، در تیم‌های شهرداری بم، شهرداری سنندج، پاس همدان، سپاهان و ذوب آهن بازی کرده است.,زهره کودایی، ورزشکار فوتبال، در تاریخ ۳ آذر ۱۳۶۸ در سپاهان متولد شده است، در تیم‌های شهرداری بم، شهرداری سنندج، پاس همدان، سپاهان و ذوب آهن بازی کرده است.
این فرد چه کسی است؟,رضا یزدانی,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1011_رضا_یزدانی_image.jpg,رضا یزدانی,این فرد رضا یزدانی است.,رضا یزدانی یک ورزشکار ایرانی است که در رشته کشتی آزاد فعالیت می‌کند و به عنوان یکی از قهرمانان این رشته شناخته می‌شود.
این فرد چه کسی است و در چه رشته ای بازی میکند؟,رضا حقیقی,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\975_رضا_حقیقی_crawled.jpg,رضا حقیقی فوتبال,رضا حقیقی، ورزشکار فوتبال، در تاریخ ۱۲ بهمن ۱۳۶۷ (۳۶ سال) در پیام خراسان متولد شده است، قد ایشان ۱٫۹۳ متر (۶ فوت ۴ اینچ) است.,رضا حقیقی، ورزشکار فوتبال، در تاریخ ۱۲ بهمن ۱۳۶۷ (۳۶ سال) در پیام خراسان متولد شده است، قد ایشان ۱٫۹۳ متر (۶ فوت ۴ اینچ) است.
این فرد چه کسی است و در کجا متولد شده است؟,فرشاد احمدزاده,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1781_فرشاد_احمدزاده_image.jpg,فرشاد احمدزاده ارومیه,فرشاد احمدزاده، ورزشکار فوتبال، در تاریخ ۱ مهر ۱۳۷۱ (۳۲ سال) در ارومیه،ایران متولد شده است,فرشاد احمدزاده، ورزشکار فوتبال، در تاریخ ۱ مهر ۱۳۷۱ (۳۲ سال) در ارومیه،ایران متولد شده است، قد ایشان ۱٫۶۹ متر (۵ فوت۶۱⁄۲اینچ) است، در تیم‌های پارسه، پرسپولیس، ←تراکتور(قرضی)، شلاسک، پرسپولیس، فولاد، سپاهان و پرسپولیس بازی کرده است.
فردی که در تصویر است چه کسی است در چه تیم هایی بازی کرده است؟,علیرضا منصوریان,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1653_علیرضا_منصوریان_image.jpg,علیرضا منصوریان بالستیر گیلانگ,در تیم‌های پارس خودرو، استقلال تهران، بالستیر سنترال، گیلانگ یونایتد، استقلال تهران، اسکودا زانتی، آپولون اسمیرنیس، سن پائولی و استقلال تهران بازی کرده است.,علیرضا منصوریان، ورزشکار فوتبال، در تاریخ ۱۱ آذر ۱۳۵۰ (۵۳ سال) در ۱۹۹۸ بانکوک متولد شده است، قد ایشان ۱٫۷۴ متر (۵ فوت ۹ اینچ) است، در تیم‌های پارس خودرو، استقلال تهران، بالستیر سنترال، گیلانگ یونایتد، استقلال تهران، اسکودا زانتی، آپولون اسمیرنیس، سن پائولی و استقلال تهران بازی کرده است.
این استادبزرگ شطرنج در کجا متولد  شده است؟,سعید,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1160_سعید_حسنیu200cپور_image1.jpg,بابل,این استاد بزرگ شطرنج در بابل متولد شده است.,سعید یک استاد بزرگ شطرنج است که در بابل متولد شده و در این زمینه شهرت زیادی دارد.
نام و رشته ی ورزشی این فرد چیست؟,حامد رشیدی,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\668_حامد_رشیدی_image.jpg,آریا داوری کشتی,حامد رشیدی، ورزشکار کشتی، در تاریخ کرمانشاه در ، متولد شده است، افتخارات مدال طلا جام جهانی کشتی جام جهانی کشتی ۲۰۱۷ کرمانشاه، مدال برنز جام جهانی کشتی قهرمانی کشتی دانشجویان جهان ۲۰۱۸ ترکیه، مدال نقره جام جهانی کشتی مسابقات قهرمانی کشتی نظامیان جهان۲۰۱۸ مسکو و مدال برنز قهرمانی کشتی آسیا ۲۰۱۷ دهلی نو را کسب کرده است.,حامد رشیدی، ورزشکار کشتی، در تاریخ کرمانشاه در ، متولد شده است، افتخارات مدال طلا جام جهانی کشتی جام جهانی کشتی ۲۰۱۷ کرمانشاه، مدال برنز جام جهانی کشتی قهرمانی کشتی دانشجویان جهان ۲۰۱۸ ترکیه، مدال نقره جام جهانی کشتی مسابقات قهرمانی کشتی نظامیان جهان۲۰۱۸ مسکو و مدال برنز قهرمانی کشتی آسیا ۲۰۱۷ دهلی نو را کسب کرده است.
نام و سن این فرد چیست؟,ارسلان مطهری,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\198_ارسلان_مطهری_image1.jpg,حمید استیلی 44 سال,حمید استیلی 44 سال,ارسالان مطهری متولد 15 تیر 1370 است و یک بازیکن فوتبال ایرانی است.
فردی که در تصویر است چه کسی است؟,علی شفیعی,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1551_علی_شفیعی__value.jpg,علی شفیعی,علی شفیعی، متولد ۳۰ شهریور ۱۳۷۰ در آمل، مازندران، ایران، سرعتی‌زن و مدافع وسط والیبال با قد ۱٫۹۸ متر و وزن ۹۵ کیلوگرم است.,علی شفیعی، متولد ۳۰ شهریور ۱۳۷۰ در آمل، مازندران، ایران، سرعتی‌زن و مدافع وسط والیبال با قد ۱٫۹۸ متر و وزن ۹۵ کیلوگرم است. او برای پیکان بازی می‌کند و افتخاراتی نظیر قهرمانی سوپر لیگ ایران (۱۳۹۵، ۱۳۹۶) و قهرمانی آسیا (۲۰۱۹) را دارد. شفیعی با اسپک ۳۴۵ سانتی‌متر و دفاع ۳۳۵ سانتی‌متر، پدیده سوپر لیگ ۱۳۹۳ شد.
نام و رشته ی ورزشی این فرد چیست؟,الهام فلاح,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\271_الهام_فلاح_image.jpg,الهام فلاح والیبال,الهام فلاح، ورزشکار والیبال، در تاریخ ۲۵ فروردین ۱۳۷۳ (۳۱ سال)شیراز در تیم ملی بزرگسالان ایران متولد شده است،,الهام فلاح، ورزشکار والیبال، در تاریخ ۲۵ فروردین ۱۳۷۳ (۳۱ سال)شیراز در تیم ملی بزرگسالان ایران متولد شده است، قد ایشان ۱٫۷۵ m (۵ ft ۹ اینچ) است و وزن ایشان ۶۰ کیلوگرم (۱۳۰ پوند) است.
کدام گزینه درباره ی این فرد صحیح است؟,علی انصاریان,C:\Users\sinab\Desktop\NLP\HW3\Generative\athlete_images\1504_علی_انصاریان_image.jpg,این فرد علی انصاریان است و در تیم استقلال بازی کرده است.,در تیم‌های فجر سپاسی، پرسپولیس، سایپا، پرسپولیس، استقلال، استیل‌آذین، استقلال اهواز، گسترش فولاد، شهرداری تبریز و شاهین بوشهر بازی کرده است.,علی انصاریان، ورزشکار فوتبال، در تاریخ ۱۴ تیر ۱۳۵۶ در تهران متولد شده است، در تاریخ ۱۵ بهمن ۱۳۹۹ درگذشته است، قد ایشان ۱٫۸۶ متر (۶ فوت ۱ اینچ) است.
