question,gold_answer,pred_answer,pred_score,is_correct,hit_at_3,top3_options,top3_scores,top3_names,top1_catalog_idx,top1_name
حبیب‌الله بلور در کدام رشته ورزشی فعالیت داشت؟,کشتی,کشتی,1.75,1,1,"[""کشتی"", ""فوتبال"", ""وزنه‌برداری""]","[1.75, 0.533333, 0.0]","[""حبیب‌الله بلور"", ""ایمان انصاری"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد""]",685,حبیب‌الله بلور
بهرنگ صفری در چه سالی متولد شده است؟,۱۳۶۳,۱۳۶۳,1.0,1,1,"[""۱۳۶۳"", ""۱۳۵۹"", ""۱۳۷۱""]","[1.0, 0.0, 0.0]","[""بهرنگ صفری"", ""مصطفی مکری"", ""ایمان انصاری""]",522,بهرنگ صفری
عبدالله موحد چند مدال جهانی کسب کرده است؟,۵,۲,1.7,0,1,"[""۲"", ""۳"", ""۵""]","[1.7, 1.533333, 1.333333]","[""عبدالله موحد"", ""جلیل ایمری"", ""سید مهدی سیدصالحی""]",1464,عبدالله موحد
لوون کورکچیان مدال طلای خود را در کدام رقابت کسب کرده است؟,بازی‌های آسیایی ۱۹۵۱ دهلی نو,بازی‌های آسیایی ۱۹۵۱ دهلی نو,1.0,1,1,"[""بازی‌های آسیایی ۱۹۵۱ دهلی نو"", ""المپیک ۱۹۵۲ هلسینکی"", ""قهرمانی جهان ۱۹۵۴""]","[1.0, 0.0, 0.0]","[""لوون کورکچیان"", ""ایمان انصاری"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد""]",1885,لوون کورکچیان
علیرضا حقی در چه ماهی متولد شده است؟,فوریهٔ ۱۹۷۹,فوریهٔ ۱۹۷۹,1.0,1,1,"[""فوریهٔ ۱۹۷۹"", ""مارس ۱۹۸۲"", ""ژانویه ۱۹۸۸""]","[1.0, 0.0, 0.0]","[""علیرضا حقی"", ""ایمان انصاری"", ""مصطفی مکری""]",1622,علیرضا حقی
زوونیمیر سولدو در کدام کشور متولد شده است؟,کرواسی,ایران,0.5833333333333333,0,1,"[""ایران"", ""کرواسی"", ""آلمان""]","[0.583333, 0.0, 0.0]","[""زوونیمیر سولدو"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""علیرضا لرستانی""]",1068,زوونیمیر سولدو
محراب شاهرخی در چه سالی درگذشته است؟,۱۳۷۱,۱۳۷۱,1.0,1,1,"[""۱۳۷۱"", ""۱۳۸۳"", ""۱۴۰۰""]","[1.0, 0.333333, 0.0]","[""محراب شاهرخی"", ""ایمان انصاری"", ""مصطفی مکری""]",1998,محراب شاهرخی
وزن محمد جمشیدی چند کیلوگرم است؟,۸۰,۸۰,1.0,1,1,"[""۸۰"", ""۷۰"", ""۱۰۰""]","[1.0, 0.0, 0.0]","[""محمد جمشیدی "", ""صادق گودرزی"", ""شجاع خلیل‌زاده""]",2065,محمد جمشیدی 
مجتبی گلیج در کدام شهر متولد شده است؟,تنکابن,تنکابن,1.0,1,1,"[""تنکابن"", ""تهران"", ""رشت""]","[1.0, 0.533333, 0.0]","[""مجتبی گلیج"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""مصطفی مکری""]",1970,مجتبی گلیج
قد ایمان موسوی چند است؟,۱/۸۴,۱/۸۴,1.0,1,1,"[""۱/۸۴"", ""۱/۶۵"", ""۱/۹۴""]","[1.0, 0.0, 0.0]","[""ایمان موسوی"", ""جواد الله‌وردی"", ""علی ایمانی ""]",449,ایمان موسوی
الهام فلاح در چه رشته‌ای فعالیت دارد؟,والیبال,والیبال,1.0,1,1,"[""والیبال"", ""فوتبال"", ""کاراته""]","[1.0, 0.533333, 0.0]","[""الهام فلاح"", ""ایمان انصاری"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد""]",271,الهام فلاح
ناصر حجازی در کدام تیم ها بازی کرده است؟,استقلال و منچستر یونایتد,استقلال و منچستر یونایتد,0.0,1,1,"[""استقلال و منچستر یونایتد"", ""سپاهان و رئال مادرید"", ""پاس و بارسلونا""]","[0.0, 0.0, 0.0]","[""ناصر حجازی"", ""ایمان انصاری"", ""علیرضا لرستانی""]",2669,ناصر حجازی
امیرعلی صادقی در کدام تیم‌ها بازی کرده است؟,سایپا و استقلال,پرسپولیس و سپاهان,0.0,0,1,"[""پرسپولیس و سپاهان"", ""سایپا و استقلال"", ""ذوب‌آهن و تراکتور""]","[0.0, 0.0, 0.0]","[""امیرعلی صادقی"", ""اکبر صادقی "", ""باشگاه فوتبال زنان شهرداری سیرجان""]",376,امیرعلی صادقی
مهتاب رحمانی ورزشکار کدام رشته است؟,والیبال,والیبال,1.0,1,1,"[""والیبال"", ""کشتی"", ""کاراته""]","[1.0, 0.25, 0.0]","[""مهتاب رحمانی"", ""محمدحسین جعفری"", ""بختیار رحمانی""]",2442,مهتاب رحمانی
بهتاش فریبا در چه شهری متولد شده است؟,تهران,تهران,1.7833333333333332,1,1,"[""تهران"", ""تبریز"", ""اصفهان""]","[1.783333, 0.0, 0.0]","[""بهتاش فریبا"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""مصطفی مکری""]",510,بهتاش فریبا
صمد پورسیدی در چه رشته‌ای فعالیت دارد؟,دوچرخه‌سواری,دوچرخه‌سواری,1.0,1,1,"[""دوچرخه‌سواری"", ""کشتی"", ""والیبال""]","[1.0, 0.75, 0.333333]","[""صمد پورسیدی"", ""صادق گودرزی"", ""جلیل ایمری""]",1413,صمد پورسیدی
عبدالواحد خنجی در کدام شهر و کشور متولد شده است؟,منامه بحرین,سیستان و بلوچستان ایران,0.0,0,1,"[""سیستان و بلوچستان ایران"", ""منامه بحرین"", ""بغداد عراق""]","[0.0, 0.0, 0.0]","[""عبدالواحد خنجی"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""مصطفی مکری""]",1470,عبدالواحد خنجی
بیژن طاهری بازیکن کدام رشته است؟,فوتبال,فوتبال,1.8333333333333333,1,1,"[""فوتبال"", ""کشتی"", ""والیبال""]","[1.833333, 0.45, 0.0]","[""بیژن طاهری"", ""باشگاه فوتبال زنان ملی‌پوشان شهرکرد"", ""مصطفی مکری""]",566,بیژن طاهری
